2019-05-14T02:58:41,039 | INFO  | sshd-SshServer[4738d6d6]-nio2-thread-3 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication attempt - karaf
2019-05-14T02:58:41,039 | INFO  | sshd-SshServer[4738d6d6]-nio2-thread-3 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication succeeded - karaf
2019-05-14T03:03:22,065 | INFO  | sshd-SshServer[55c2eae8]-nio2-thread-3 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication attempt - karaf
2019-05-14T03:03:22,065 | INFO  | sshd-SshServer[55c2eae8]-nio2-thread-3 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication succeeded - karaf
2019-05-14T03:07:31,540 | INFO  | sshd-SshServer[45bdb88a]-nio2-thread-5 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication attempt - karaf
2019-05-14T03:07:31,541 | INFO  | sshd-SshServer[45bdb88a]-nio2-thread-5 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication succeeded - karaf
2019-05-14T03:16:24,999 | INFO  | sshd-SshServer[6daf26a6]-nio2-thread-5 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication attempt - karaf
2019-05-14T03:16:25,000 | INFO  | sshd-SshServer[6daf26a6]-nio2-thread-5 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication succeeded - karaf
2019-05-14T03:20:36,307 | INFO  | sshd-SshServer[10a43946]-nio2-thread-1 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication attempt - karaf
2019-05-14T03:20:36,308 | INFO  | sshd-SshServer[10a43946]-nio2-thread-1 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication succeeded - karaf
2019-05-14T11:59:22,441 | INFO  | sshd-SshServer[380ddf1]-nio2-thread-5 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication attempt - karaf
2019-05-14T11:59:22,449 | INFO  | sshd-SshServer[380ddf1]-nio2-thread-5 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication succeeded - karaf
2019-05-14T12:02:17,257 | INFO  | qtp244302207-114 | LogAuditLoginModule              | 138 - org.apache.karaf.jaas.modules - 4.1.5 | Authentication attempt - karaf
